crime_id,city,crime_type,date_time,latitude,longitude,location_desc,police_zone
1,Chennai,Fraud,2023-04-23 23:00:00,13.064001224527896,80.25297381541732,Mall,Zone 1
2,Mumbai,Fraud,2023-09-01 04:00:00,19.07599829647078,72.89490377209174,Highway,Zone 1
3,Jaipur,Robbery,2023-11-22 11:00:00,26.918525113610663,75.78980585441529,Home,Zone 1
4,Lucknow,Vandalism,2023-05-11 20:00:00,26.859179015554126,80.93284782404648,Highway,Zone 4
5,Pune,Cyber Crime,2023-09-10 09:00:00,18.51883950769006,73.84913124871301,Highway,Zone 2
6,Kolkata,Cyber Crime,2023-04-22 09:00:00,22.565642358995756,88.36442622036672,Public Transport,Zone 4
7,Delhi,Robbery,2023-01-20 23:00:00,28.684844692468054,77.09434860459194,Market,Zone 2
8,Chennai,Theft,2023-12-17 08:00:00,13.068418228231751,80.27729578576793,Market,Zone 1
9,Mumbai,Robbery,2023-04-07 19:00:00,19.084525798983567,72.85938488660119,Home,Zone 3
10,Kolkata,Cyber Crime,2023-07-27 19:00:00,22.58116443003067,88.38236556112719,Highway,Zone 1
11,Pune,Cyber Crime,2023-12-09 18:00:00,18.53465774994787,73.84242280332492,Market,Zone 4
12,Chennai,Kidnapping,2023-03-13 22:00:00,13.079672673318282,80.28488904743396,Highway,Zone 3
13,Kolkata,Kidnapping,2023-09-16 09:00:00,22.560871273369127,88.35728429590742,Market,Zone 2
14,Mumbai,Fraud,2023-01-20 13:00:00,19.093633989930055,72.88894406141921,Highway,Zone 4
15,Delhi,Kidnapping,2023-03-12 19:00:00,28.694335101814772,77.08285595841302,School Area,Zone 3
16,Pune,Assault,2023-12-20 22:00:00,18.507944288405472,73.87618439713597,Office Zone,Zone 3
17,Chennai,Cyber Crime,2023-08-13 19:00:00,13.09960014499151,80.27690070594488,Mall,Zone 4
18,Delhi,Theft,2023-06-15 12:00:00,28.720480698905217,77.08537749131386,Street,Zone 1
19,Pune,Cyber Crime,2023-10-06 00:00:00,18.50552921900058,73.84843909942724,Office Zone,Zone 2
20,Pune,Burglary,2023-08-29 15:00:00,18.52041977439902,73.86021298062451,Public Transport,Zone 4
21,Jaipur,Burglary,2023-04-14 16:00:00,26.89480193251726,75.77060618878019,School Area,Zone 2
22,Mumbai,Theft,2023-07-31 04:00:00,19.05950245028806,72.86072579154599,Mall,Zone 2
23,Lucknow,Burglary,2023-09-23 06:00:00,26.86083277921788,80.92901587505554,Street,Zone 2
24,Delhi,Robbery,2023-09-03 13:00:00,28.69019933927836,77.12143874717808,Public Transport,Zone 2
25,Ahmedabad,Fraud,2023-02-26 15:00:00,23.017420991344366,72.59014023299292,Market,Zone 2
26,Mumbai,Vandalism,2023-02-27 03:00:00,19.069880578067767,72.88805847359616,Mall,Zone 4
27,Delhi,Robbery,2023-01-09 20:00:00,28.700528737120347,77.10432579964404,Highway,Zone 4
28,Hyderabad,Cyber Crime,2023-01-24 21:00:00,17.375299658721723,78.48693107787052,Highway,Zone 3
29,Bengaluru,Kidnapping,2023-07-23 14:00:00,12.981807863463494,77.57985289862621,Public Transport,Zone 1
30,Hyderabad,Burglary,2023-11-02 19:00:00,17.38182773471295,78.46911008261371,Street,Zone 4
31,Jaipur,Kidnapping,2023-02-25 05:00:00,26.918755975635463,75.78987513677471,Highway,Zone 4
32,Lucknow,Theft,2023-08-28 05:00:00,26.837669328446605,80.93806573172752,Office Zone,Zone 3
33,Kolkata,Theft,2023-06-14 08:00:00,22.579144416466406,88.37527052299822,Office Zone,Zone 4
34,Ahmedabad,Cyber Crime,2023-03-10 21:00:00,23.028601571196475,72.58052661880457,Public Transport,Zone 1
35,Jaipur,Kidnapping,2023-08-15 01:00:00,26.894098970915252,75.80572170617805,Public Transport,Zone 1
36,Hyderabad,Cyber Crime,2023-01-04 06:00:00,17.40296862114021,78.50132712779657,Highway,Zone 3
37,Mumbai,Vandalism,2023-03-25 02:00:00,19.07107682882067,72.89280702591421,Public Transport,Zone 3
38,Lucknow,Assault,2023-07-14 16:00:00,26.83828346836981,80.94861985347757,Office Zone,Zone 2
39,Lucknow,Vandalism,2023-07-10 16:00:00,26.860797199899043,80.94974585485548,Street,Zone 3
40,Chennai,Theft,2023-03-18 05:00:00,13.0648127316459,80.29059118910762,School Area,Zone 3
41,Chennai,Kidnapping,2023-08-30 13:00:00,13.088590777281544,80.28740948264857,School Area,Zone 3
